,,title,description,skill
ec,1174,Data Science Research Methods: R Edition,"This course is part of the <a href=""https://www.edx.org/microsoft-professional-program-data-science"" target=""_blank"" rel=""noopener noreferrer"">Microsoft Professional Program Certificate in Data Science</em></a>.<br /><br />Data scientists are often trained in the analysis of data. However, the goal of data science is to produce good understanding of some problem or idea and build useful models on this understanding. Because of the principle of &ldquo;garbage in, garbage out,&rdquo; it is vital that the data scientist know how to evaluate the quality of information that comes into a data analysis. This is especially the case when data are collected specifically for some analysis (e.g., a survey). <br /><br />In this course, you will learn the fundamentals of the research process&mdash;from developing a good question to designing good data collection strategies to putting results in context. Although the data scientist may often play a key part in data analysis, the entire research process must work cohesively for valid insights to be gleaned.<br /><br />Developed as a language with statistical analysis and modeling in mind, R has become an essential tool for doing real-world Data Science. With this edition of Data Science Research Methods, all of the labs are done with R, while the videos are tool-agnostic. If you prefer your Data Science to be done with Python, please see Data Science Research Methods: Python Edition.<br /><br />edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow <a href=""https://courses.edx.org/financial-assistance/"">this link</a> to complete an application for assistance.",Data Science
ec,1178,Upper-Intermediate English: Modern Life,"This course is the second in a series of four English language MOOCs designed for students with an intermediate level of English looking to reach a higher intermediate level. The course is comprised of video lessons, reading comprehension activities, grammar explanations and exercises, listening comprehension activities and speaking practice. <br /><br />The course covers interesting topics such as the Olympic Games, natural resources, extreme sports, health issues, films, pollution or pets. <br /><br />This course also includes preparatory materials and recommendations to take the Cambridge University First Certificate in English Examination (FCE).",English
ec,1179,Upper-Intermediate English: Business,"This course is the first in a series of four English language MOOCs designed for students with an intermediate level of English looking to reach a higher intermediate level. The course is comprised of video lessons, reading comprehension activities, grammar explanations and exercises, listening comprehension activities and speaking practice. <br /><br />&nbsp;The course covers interesting topics such as&nbsp;successful businesses, risk management, industrial design and radio broadcasting.&nbsp;<br /><br />This course also includes preparatory materials and recommendations to take the Cambridge University First Certificate in English Examination (FCE).",English
ec,1180,Upper-Intermediate English: Technology Today,"This course is the fourth in a series of four English language MOOCs designed for students with an intermediate level of English looking to reach a higher intermediate level. The course is comprised of video lessons, reading comprehension activities, grammar explanations and exercises, listening comprehension activities and speaking practice. <br /><br />&nbsp;The course covers interesting topics such as cultural differences, aviation and global warming, historical monuments or technological innovation. <br /><br />This course also includes preparatory materials and recommendations to take the Cambridge University First Certificate in English Examination (FCE).",English
ec,1187,Upper-Intermediate English: Globalization,"This course is the third in a series of four English language MOOCs designed for students with an intermediate level of English looking to reach a higher intermediate level. The course is comprised of video lessons, reading comprehension activities, grammar explanations and exercises, listening comprehension activities and speaking practice.<br /><br />The course covers interesting topics such as the Edinburgh Theatre Festival, music, films and theatre, migratory movements&nbsp;and indigenous cultures.<br /><br />&nbsp;This course also includes preparatory materials and recommendations to take the Cambridge University First Certificate in English Examination (FCE).",English
ec,1191,Risk Management in Banking and Financial Markets Professional Certificate Exam,"In order to earn this Professional Certificate and stand out in your field, you need to take the &lsquo;Risk Management in Banking and Financial Markets Professional Certificate Exam&rsquo; from IIMBx. <br /><br />The Exam will be timed for three hours and will comprise questions based on topics covered in all the five courses. To earn your Professional Certificate, you must receive a minimum score as per the course&rsquo;s grading policy for the Exam.<br /><br />Prerequisite for this Exam:<br /><br />To qualify for this this Exam, participants should have earned a Verified Certificate in all five courses that comprise this Professional Certificate program &ldquo;<a href=""https://www.edx.org/professional-certificate/iimbx-risk-management-in-banking-and-financial-markets"">Risk Management in Banking and Financial Markets</a>&rdquo;: <br />
<ul>
<li>Course 1: Banking &amp; Financial Intermediation: Concepts, Risks, Capital and Regulation</li>
<li>Course 2: Money &amp; Debt Market: Concepts, Instruments, Risks and Derivatives&nbsp;</li>
<li>Course 3: Equity Stock Market: Concepts, Instruments, Risks and Derivatives</li>
<li>Course 4: Foreign Exchange Market: Concepts, Instruments, Risks and Derivatives</li>
<li>Course 5: Special Topics in Risk Management of Banking and Financial Markets</li>
</ul>
<br />This course is part of IIMBx's Professional Certificate program &lsquo;<a href=""https://www.edx.org/professional-certificate/iimbx-risk-management-in-banking-and-financial-markets"">Risk Management in Banking and Financial Markets</a>&rsquo;.&nbsp;",Risk Management
ec,1192,IoT System Design: Software and Hardware Integration,"This course is designed to&nbsp;teach you how systems are developed using IoT technology. <br /><br />Many engineers and developers tend to focus on&nbsp;a single discipline - either software or hardware. However, in today&rsquo;s connected&nbsp;age it's critical to have a comprehensive understanding of both disciplines and how they are intertwined.<br /><br />In this practical course,&nbsp;you'll gain a holistic understanding of system development from both software and hardware perspectives. A truly hands-on experience, you will develop your own embedded system. In doing so, you'll learn as much from your failures as your successes as you go along.<br /><br />Note: In this course, we will use <a href=""https://www.terasic.com.tw/cgi-bin/page/archive.pl?Language=English&amp;CategoryNo=167&amp;No=1046"">DE10-Nano Development Kit</a> by Terasic Inc.",Internet of Things (IoT)
ec,1197,Using Email for Networking in English,"Effective writing is an important business skill, especially for networking, and most communication takes place using email.&nbsp;&nbsp;<br />&nbsp;<br />In this course, you&rsquo;ll learn&nbsp;important vocabulary and strategies for writing effective emails, starting with the subject line.&nbsp; You'll learn how to write messages for different audiences and understand when to&nbsp;be formal or direct.&nbsp;You&rsquo;ll&nbsp;also learn how your choice of words can change the way people view your message.&nbsp;You'll practice writing emails to follow up with people in your network.",English
ec,1201,Leadership and Influence,"Develop the skills to be an effective and successful leader. High impact leaders have the ability to lead and influence others toward a common goal. &nbsp;To do this you must develop your own toolbox of strategies - to maintain engagement, to build collaborative support and to master conflict while remaining true to your authentic self.<br /><br />Upon completing this course, learners will be able to design an effective influence strategy to accomplish goals, even without formal authority. You&rsquo;ll be able to recognize team dynamics and identify ways to help each member contribute more effectively. Through exercises and lessons, you&rsquo;ll pinpoint problems and challenges in the way you (and your teams) make decisions. Finally, you&rsquo;ll walk away with a concrete plan for continuing to expand your situational adaptability as a leader, allowing you to adjust with fluency and achieve your fullest potential.",Leadership
ec,1202,Data Analysis for Decision Making,"In our information age, companies have access to unprecedented amounts information on customers--their behaviors, interests, and buying habits--and the markets in which they operate. Being able to analyze that data has become a critical skill for decision makers at every level of an organization. Today&rsquo;s firms use data to detect market movement before it becomes a fully-fledged trend, helping them to stay ahead of the curve, tailor products and services to specific customer segments, determine when and when to enter markets, and differentiate themselves from competitors. <br /><br />In this course, you will learn how to unlock the value of data to create and grow an organization. You will gain the analytical tools necessary to confidently describe the current state of areas critical to your business, predict the likelihood of an event occurring, compare two or more approaches to a business challenge, and determine if a phenomenon you are seeing is coincidence or a genuine insight. By the end of this course, you know how to make data-driven decisions to find advantages and stay competitive.",Data Analysis
ec,1204,Marketing Management,"Mark Cuban, owner of the Dallas Mavericks, puts it bluntly: &ldquo;No sales. No company.&rdquo; Every organization needs effective marketing to match its products, services and experiences to customers, and maintain and grow its revenue. In this course you will learn the keys to successful marketing, from using traditional and digital media channels to build brand awareness, to using consumer and behavioral research in order to better match your product to your customers&rsquo; wants and needs. <br /><br />In this course, you'll learn to:<br />
<ul>
<li>Identify target customers and analyze and understand their needs and desires.</li>
<li>Define your offering's value proposition and positioning.</li>
<li>Identify the right target customer segment, and create a go-to-market strategy and integrated marketing campaign</li>
<li>Define key performance indicators and analyze the results.</li>
</ul>
By the end of this class, you will understand how to assess the competitive playing field, understand your competitor&rsquo;s brand position, and map your own organization&rsquo;s position, strengths, and weaknesses, to create or capture competitive advantages.",Marketing Management
ec,1205,Global Business Strategy,"Successful business leaders have an eye toward the future and a deep understanding of the local and global markets in which their firm operates. They understand the strengths and weaknesses of their business and product line, the competitive and complementary landscape, and emerging trends in their business sector. Because of their strategic insight, these leaders anticipate changes in global market conditions, recognize potential opportunities to innovate, identify strategic initiatives to further the firm, and successfully anticipate and navigate barriers to entry at home and at an international scale. <br /><br />Upon completion of this course, learners will understand how to maximize short- and long-term profitability by analyzing and identifying opportunities and threats in different industries and competitive environments around the world. You'll be able to asnwer questions such as:<br />-When and how should you engage in a strategic alliance? <br />-How can you create an organizational structure that is effective locally and allows for global expansion? <br />-What assets, resources, and capabilities does your organization already have that can be leveraged for global growth? <br /><br />By the end of this course, you will have the skills to guide your firm&rsquo;s strategy to identify and realize competitive advantage in the dynamic global marketplace.",Business Strategy
ec,1207,Effective Business Communication,"Short of breathing, the one activity that humans engage in the most is communication. In a business scenario, communication not only helps us share our thoughts but is essential in getting our work done and becoming more successful. <br /><br />In a business scenario, communication includes written letters, summaries, and emails. Clear communication skills are needed for impactful oral presentations in front of an audience. Even everyday&nbsp;practices&nbsp;like participating in meetings and managing interpersonal communication are key to achieving long and short-term business goals.<br /><br />This course will help you improve these communications skills by exploring the inherent challenges and providing techniques to help overcome hurdles.",Business Communications
ec,1209,Financial Accounting,"Financial accounting is called the &ldquo;language of business,&rdquo; and for good reasons. An examination of a firm&rsquo;s financial statements - which reflect the company&rsquo;s performance - reveals a wealth of information about its history, current financial health, and future potential. This is why business leaders use accounting to communicate their organization&rsquo;s financial information to potential investors, shareholders, lenders, and regulators. Financial accounting allows an organization&rsquo;s leaders to make sound business decisions and helps investors better understand company value. <br /><br /><br />In this course, you will learn how to interpret and communicate financial statements so that you can speak confidently on indicators such as assets, liabilities, shareholders&rsquo; equity, and goodwill. This course will teach you how to interpret the three financial statements core to any business--the income statement, balance sheet, and statement of cash flows--and analyze how they reflect business decisions. By the end of this course, you will know how to use financial accounting as a strategic tool to understand and grow your business--and understand and outmaneuver your competitors.</p>",Accounting
ec,1210,Automated Software Testing: Advanced Skills for Java Developers,"Software testing gets a bad rap for being difficult, time-consuming, redundant, and above all - boring. But in fact, it is a proven way to ensure that your software will work flawlessly and can meet release schedules. <br /><br />In a two-course series, we will teach you automated software testing in an inspiring way. We will show you that testing is not as daunting a task as you might think, and how automated testing will make you a better developer who programs excellent software.<br /><br />This second course&nbsp;builds upon the first course's material. It covers more advanced tools and techniques and their applications, now utilizing more than just JUnit. Key topics include Test-Driven Development, state-based and web testing, combinatorial testing, mutation testing, static analysis tools, and property-based testing.<br /><br />This is a highly practical course. Throughout the lessons, you will test various programs by means of different techniques. By the end, you will be able to choose the best testing strategies for different projects..<br /><br />If you are or want to become a five-star software developer, QA engineer, or software tester, join this course. Testing will never be the same again!<br /><br />LICENSE</em><br /><br />The course materials of this course are Copyright Delft University of Technology and are licensed under a Creative Commons Attribution-NonCommercial-ShareAlike (CC-BY-NC-SA) 4.0 International License.</em>",Software Testing
ec,1224,Activism and Citizen Journalism through Media,"Media is a powerful tool for promoting social justice. If you are an activist involved in promoting or advocating for a social cause, this course will provide you with valuable information and guidance.<br />&nbsp;<br />The course will help you to identify and pitch a newsworthy story, select appropriate media for publicising your story; and assess the impact of your story. The course also addresses working in an ethical way as both an activist and citizen journalist.",Journalism
ec,1241,Using GPUs to Scale and Speed-up Deep Learning,"Training a&nbsp;complex deep learning model with a very large dataset&nbsp;can take hours, days and occasionally weeks to train. So, what is the solution? Accelerated hardware.&nbsp;<br /><br />You&nbsp;can use accelerated hardware such as Google&rsquo;s Tensor Processing Unit&nbsp;(TPU) or Nvidia GPU to accelerate&nbsp;your&nbsp;convolutional neural network computations time&nbsp;on the Cloud. These chips are&nbsp;specifically designed to support the training of neural networks, as well as the use of trained networks&nbsp;(inference).&nbsp;Accelerated hardware has recently been proven to significantly reduce training time.<br /><br />But the problem is that your data&nbsp;might be sensitive&nbsp;and you may not feel comfortable uploading it&nbsp;on a&nbsp;public cloud, preferring to analyze it on-premise.&nbsp;&nbsp;In this case, you&nbsp;need to use an in-house system with&nbsp;GPU support. One solution is&nbsp;to use&nbsp;IBM&rsquo;s Power Systems&nbsp;with&nbsp;Nvidia GPU and&nbsp;PowerAI. The&nbsp;PowerAI&nbsp;platform supports popular machine learning libraries and dependencies including Tensorflow, Caffe, Torch, and Theano.<br /><br />In this course, you'll understand what GPU-based accelerated hardware is and how it can benefit your deep learning scaling needs. You'll also deploy&nbsp;deep learning networks on GPU accelerated hardware for several problems, including the classification of&nbsp;images and videos.",Deep Learning
ec,1243,"Nuclear Energy: Science, Systems and Society","Nuclear Energy: Science, Systems and Society</em> offers an introduction to the basic physics of nuclear energy and radiation, with an emphasis on the unique attributes and challenges of nuclear energy as a low-carbon solution. Peaceful applications of ionizing radiation to help mankind, such as reactors for materials science research, nuclear medicine, and security initiatives, will be introduced.<br /><br />The course will explore fission energy, establishing the scientific, engineering, and economic basis for fission reactors, and will describe the state of the art in nuclear reactor technology. <br /><br />We will&nbsp;also learn about&nbsp;magnetic fusion energy research, with lectures covering the scientific and engineering basis of tokamaks, the state of the art in world fusion experiments, and the MIT vision for high-magnetic field fusion reactor.<br /><br />In addition,&nbsp;the course also includes an optional hands-on section, where you will be able acquire radiation detectors and use them to explore radiation in the world around them, using guided exercises available on-line.<br /><br />Image Source: <a href=""http://sciencestockphotos.com/free/electrical/slides/radioactive_smoke_detector.html"" target=""_blank"" rel=""noopener noreferrer"">http://sciencestockphotos.com/free/electrical/slides/radioactive_smoke_detector.html</a>, Image by <a href=""http://sciencestockphotos.com"" target=""_blank"" rel=""noopener noreferrer"">http://sciencestockphotos.com</a>",Nuclear Energy
ec,1259,Applied Scrum for Project Management,"Scrum and Agile are often considered synonymous, and there is good reason. Scrum embodies the simplest and most pure approach to managing project work at the team level and&nbsp;is employed by over half of all Agile practitioners across all industries. Consider the below statistics:&nbsp;<br />
<ul>
<li>Today nearly 100% of IT organizations use Agile and many other industries are quickly following</li>
</ul>
<ul>
<li>The likelihood of being on a Scrum or Scrum-like project is quickly approaching 50/50 or better over time. &nbsp;</li>
</ul>
<br />In this course we start by learning the key project management processes, roles, mechanics, and philosophies behind Scrum.&nbsp;This&nbsp;gives you the basic understanding you'll need in&nbsp;the Mastering Agile Professional Certificate program to learn&nbsp;principles at the heart of all Agile frameworks.&nbsp;This will provide the basis for understanding Agile in its purest form over four weeks exploring Why, Who, How, and finally What Scrum looks like applied in the real world.",Project Management
ec,1265,Agile Leadership Principles,"Agile can often challenge project managers in the realm of leadership. Old styles of command-control are now a thing of the past, except for the most conservative organizations. But Agile takes self-empowerment to new levels and challenges traditional beliefs in what leadership means. <br /><br />In this course, you will learn how this new style of leadership redefines and redistributes team roles by: <br /><br />
<ul>
<li>Motivating through empowerment to gain better decisions</li>
<li>Facilitating the creativity and inclusivity of a high-functioning team</li>
<li>Identifying and managing decision making biases</li>
<li>Negotiating conflicts across individuals, teams, and organizations</li>
<li>Ensuring success through delegation and powerful constraint-based metrics.</li>
</ul>
<br />You&rsquo;ll learn to turn one internally motivated and critically thinking mind into many; and driving speed and innovation through leveraging all talents on the team.",Leadership
ec,1289,AI for Leaders,"Research from the World Economic Forum (WEF) and Mckinsey shows that AI will increasingly disrupt what we do, who does it and how all work is done &ndash; e.g. humans versus machines. On the positive side, AI is expected to add significant growth and value to the world&rsquo;s economy for the companies and countries that get it.&nbsp; As such, it is more important than ever that all leaders, managers, executives and board members develop their AI skills to compete and prosper in the AI world.&nbsp; <br /><br />However, most leaders, executives and board members lack the necessary AI education, skills, strategies and tactics to create AI-powered business models with platform and network effects. Further, they don&rsquo;t understand how AI will impact their customers, employees, investors, operations and product/service offerings.&nbsp;<br /><br />WHAT&nbsp;TO EXPECT<br /><br />AI for Leaders features a series of lessons with video lectures, real world case studies, and hands on practice sessions that will help you learn the skills you need to advance your company and career. In addition, you will learn how to leverage today&rsquo;s AI capabilities to improve your organization&rsquo;s: <br /><br />a). Customer offerings and interactions, <br />b). Employee engagement and capabilities, <br />c). Operations,<br />d). Competitive positioning, and <br />e). The 7 attributes of AI centered leadership.<br /><br />Finally, our program provides 5 clear steps, which we call PIVOT - that help you and your organization build today&rsquo;s modern business model &ndash; along with a capstone project focused on how you build your own AI powered (autonomous) business model. <br /><br />WHAT THIS COURSE CONTAINS<br /><br />To ensure your success as a leader in the AI world, this course contains:<br />
<ol>
<li>40+ videos</li>
<li>Lectures from renowned faculty and business practitioners</li>
<li>Real-world case studies</li>
<li>25+ exercises</li>
<li>Preeminent articles from world class publications including HBR, Forbes and MITSMR</li>
</ol>
WHO SHOULD TAKE THIS COURSE<br /><br />All leaders, board members, executives and team leaders at all types of organizations and at all levels should take this course. Further if you are looking to rise to a new role in your company, this course will arm you with the tools and techniques you need to drive your career and organization into the world of AI powered platforms and join companies like, Amazon, Apple, Alphabet, Uber and Airbnb who are at the forefront of this revolution.",Artificial Intelligence
ec,1290,Essential Math for Data Analysis using Excel Online,"This course is part of the <a href=""https://www.edx.org/microsoft-professional-program-data-analysis"" target=""_blank"" rel=""noopener noreferrer"">Microsoft Professional Program in Data Analysis</a>.<br /><br />Starting with the absolute basics of math and data, this course builds up your analyst skills while removing the mathematical hurdles and barriers that often come with beginning to learn how to analyze data. This course is intended for anyone with the desire to do data analysis and who would like to learn the math behind it all in a simplified way, as well as for anyone who would like a thorough refresher on the essentials. <br /><br />Learn how to handle different data types, understand mathematical notation, become proficient in handling data sets and summary statistics, and even get a sneak peek into how to be effective at making&nbsp;stctistical inferences and predictions, all told in a way to maximize your understanding&mdash;so that afterward, you can be well on your way toward analyzing data in any field or discipline.",Data Analysis
ec,1292,Fundamentals of Java EE Development,"This course will provide you with an introduction to Java EE using Red Hat JBoss Developer Studio and Red Hat JBoss Enterprise Application Platform. Through hands-on labs, you will transform a simple Java SE command line into an enterprise application that uses various Java EE specifications, including Enterprise Java Beans, Java Persistence API, and JAX-RS for REST services.  </p>
This course will benefit developers that already have a strong foundation in Java SE and want to learn the basic skills and concepts that are necessary to be an enterprise Java Developer.</p>",Java
ec,1303,BioStatistics,"This course is credit eligible through Doane&nbsp;University's Open Learning Academy.&nbsp;The Open Learning Academy's 3-4 credit hour courses are designed to provide learners with foundational coursework for undergraduate level programs. It is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit.<br />_________________________________________________________________________<br /><br />In this undergraduate-level biostatistics course, the learners will be introduced to the use of statistics and study designs in biology. Upon successful completion of this course, learners will be able to design experimental, quasi-experimental and observational studies that will meet regulatory guidelines; collect, analyze, and interpret data using appropriate statistical tools. These are skills utilized in bio-statistical research in healthcare as well as other biology related fields. The importance of having these skills is recognized within public health sectors relating to analysis of drug effectiveness and risk factors for different illnesses, effectiveness of heath care interventions as well as helping explain biological phenomena. <br /><br />In addition to fulfilling requirements in undergraduate college programs, this undergraduate level course also provides future healthcare professionals with foundational coursework required for successful entry into a health professions graduate program or medical school. This course may also spark further interest for the learner towards a more advanced degree in biostatistics. The field of biostatistics provides an increasing opportunity for employment. According to the United States Bureau of Labor Statistics, this field will experience a 14% employment growth between 2010 and 2020.<br /><br />BIOL-295x&nbsp;BioStatistics from DoaneX&nbsp;is a credit-eligible course. Learners have the opportunity to experience this same rigorous university-level course on a flexible schedule and earn academic credit when they pass the course with a C or better.<br /><br />Credit details:<br /><br />Number of credit hours for&nbsp;BIOL-295x&nbsp;BioStatistics:&nbsp;3&nbsp;credit hours.&nbsp;<br />Cost:&nbsp;$500 (USD)&nbsp;- pay for credit earned after passing the course with a C or better.<br /><br />Eligibility:<br /><br />
<ul>
<li>Learner must enroll in the Verified Certificate option&nbsp;</li>
<li>Learner must abide to all course and academic integrity policies throughout the entire course.</li>
<li>Learner must receive a passing grade of a C or better.</li>
</ul>",Biostatistics
ec,1306,Python Basics for Data Science,"This introduction to Python will kickstart your learning of Python for data science, as well as programming in general. This beginner-friendly Python course will take you from zero to programming in Python in a matter of hours.<br /><br />Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.<br /><br />You can start creating your own data science projects and collaborating with other data scientists using <a href=""http://cocl.us/PythonforDataScienceMainPage"">IBM Watson Studio</a>. When you sign up, you get free access to Watson Studio. Start now and take advantage of this platform.",Python
ec,1312,Machine Learning with Python: A Practical Introduction,"This Machine Learning with Python course dives into the basics of&nbsp;Machine Learning&nbsp;using&nbsp;Python, an approachable and well-known programming language. You'll learn about Supervised vs Unsupervised Learning, look into how Statistical Modeling relates to Machine Learning, and do a comparison of each.<br /><br />You'll look at real-life examples of Machine Learning and how it affects society in ways you may not have guessed!<br /><br />We'll explore many popular algorithms including Classification, Regression, Clustering, and Dimensional Reduction and popular models such as&nbsp;Train/Test Split, Root Mean Squared Error and Random Forests. <br /><br />Most&nbsp;importantly, you will transform your theoretical knowledge into practical skill using hands-on labs. Get ready to do more learning than your machine!",Machine Learning
ec,1318,Economics and Policies in a Biobased Economy,"&ldquo;In order to produce food in a sustainable way for an additional 2 billion people by 2050, a business-as-usual approach will not be sufficient. This is especially true in the face of climate change and other forces threatening natural resources like biodiversity, land and water that are essential for food production and agriculture, including forestry and fisheries. To meet these challenges, science and the application of biotechnologies as well as conventional technologies will play a key role.&rdquo;</em> FAO<br /><br />Are you&nbsp;responsible for dealing with the economics and policies governing the transition- and implementation of biobased products and resources? Join the course Economics and Policies in a Biobased Economy and discover the whole value chain from Research &amp; Development, over application, processing, retailing and final demand.&nbsp;Learn how the value chain and the rents and their distribution along the chain are affected by policies. Examples such as the benefits and costs of developing, cultivating, and marketing genetically modified organisms (GMOs) will be discussed extensively.<br /><br />Upgrade your knowledge about the recent trends in the circular economy and in sustainable business. Know how to measure adoption and environmental benefits, learn about the benefits and costs and the distribution of sustainable products, market power, approval processes, supply chain, guiding policies and the current social debate.<br /><br />This course is part of the MicroMasters program Business and Economics for a Circular Economy.</strong><br /><br />A series of 3 courses and a final capstone project designed to help you develop the skills needed to seize opportunities and embrace the transition from a fossil-based economy to a biobased one.<br /><br />Explore the other courses in the MicroMasters program:<br /><br />
<ul>
<li>Circular Economy: An Interdisciplinary Approach</li>
<li>From Fossil Resources to Biomass: a Chemistry Perspective</li>
<li>Capstone Business and Economics for a Circular Economy</li>
</ul>",Economics
ec,1321,Capstone Business and Economics for a Circular Economy,"Please note: The capstone project is only accessible for ID-verified MicroMasters learners who successfully obtained verified certificate in all MicroMasters program courses.</em><br /><br />In this capstone project, you will work on integrating the technological section with the Business and Economics section and the Circular Economy part to develop a categorically more sustainable bio-based practice. The focus is on linking the various aspects into an integral research, based on literature research and applied to a practical case. <br />The final product in this capstone project is a written report. This report should reflect the academic research capabilities on a Masters level, i.e. defining a research proposal, proper literature research, methodology, data, results and conclusions and discussion. <br /><br />Complete your MicroMasters credential by signing up for a virtually-proctored exam. This 2 hour, multiple choice exam will test your knowledge on all topics discussed in the 3 MicroMasters programme courses.<br /><br />You can only start the capstone project after completing all other courses in the MicroMasters programme Business and economics for a circular economy.<br /><br />With a verified certificate for every course:<br />
<ul>
<li>Circular Economy: An Interdisciplinary Approach</li>
<li>Economics and Policies in a Biobased Economy</li>
<li>From Fossil Resources to Biomass: a Chemistry Perspective</li>
</ul>",Economics
ec,1333,Amazon SageMaker: Simplifying Machine Learning Application Development,"Machine learning is one of the fastest growing areas in technology and a highly sought after skillset in today&rsquo;s job market.<br /><br />This course will teach you, an application developer, how to use Amazon SageMaker to simplify the integration of Machine Learning into your applications. Key topics include: an overview of Machine Learning and problems it can help solve, using a Jupyter Notebook to train a model based on SageMaker&rsquo;s built-in algorithms and, using SageMaker to publish the validated model. You will finish the class by building a serverless application that integrates with the SageMaker published endpoint.<br /><br />Learn from AWS Training and Certification expert instructors through lectures, demonstrations, discussions and hands-on exercises* as we explore this complex topic from the lens of the application developer.<br /> <br /> *Note that there may be a cost associated with some exercises. If you do not wish to incur additional expenses, you may view demonstrations instead.",Amazon Web Services (AWS)
ec,1335,Data Analysis: A Practical Introduction for Absolute Beginners,"This course is part of the <a href=""https://www.edx.org/microsoft-professional-program-data-analysis"" target=""_blank"" rel=""noopener noreferrer"">Microsoft Professional Program in Data Analysis</a>.<br /><br />Digital transformation and advanced technologies like AI and quantum computing are fueled by data. Every industry and profession needs data analysis, from a small business&rsquo;s survey data to CERN&rsquo;s 100&rsquo;s of petabytes per experiment. Analyzing data is one of the most critical skills of the future.<br /><br />This course, meant for people of all ages, will bring you from the very beginnings of data concepts and structures in context, all the way through analyzing data, telling data stories effectively, and understanding the environments in which data exists throughout our work and life. It will also start you on the path to becoming a data&nbsp;analyst. Throughout the course, we&rsquo;ll reference additional courses and learning paths you can take to help you on your data career journey.",Data Analysis
ec,1336,Solar Resource Assessment in Desert Climates,"Desert regions may seem optimal for solar energy and the deployment of photovoltaic (PV) applications. However, the heat and dust experienced in the region poses a challenge for the optimal performance of PV modules and reliability of the applications.<br /><br />In this course, you will learn how to mitigate these challenges by understanding the components of solar radiation and the characteristics of solar cells and the solar spectrum. You will also learn about forecasting and nowcasting and how this influences selecting a site for PV application. The economic impact of PV applications is a key area of interest and this course provides you with knowledge on the costs and benefits of solar energy from PV applications.",Solar Energy
ec,1342,Introductory Statistics : Sample Survey and Instruments for Statistical Inference,"In this course, you will learn about sample surveys with the concepts of samples and populations. In addition, we will discuss possible problems(bias) of the surveys based on practical examples and concept of probability errors in sampling.<br /><br />This course will familiarize you with statistical inference, the process by which data is used to draw a conclusion or uncover a scientific truth about a population from a sample.<br /><br />You can learn how to obtain confidence intervals and estimate the population percentage using sample percentage. We will also cover statistical inferences using sample average to estimate the population average with the concept of standard error and measurement error.<br /><br />Finally, you will learn fundamental idea and process of significance test to determine whether the observed difference is real or simply accidental. Test for difference in average between two groups and Chi-Square test will be discussed in depth in this course.",Statistics
ec,1346,Business Strategy and Operations in a Biobased Economy,"&ldquo;Sustainable growth business models are the beginning of a solution &mdash; they aim to optimize the use of resources and fossil energy, and to reduce waste flows and emissions (eco- efficiency). Structuring a (more) circular business model is a logical next step. A circular economy is the logical and more hands-on approach to sustainable thinking and acting. Besides a clear link to cost reduction, the principles of a circular economy have an even stronger link to value creation and innovations at system level"".</em>&nbsp;From the document &ldquo;Circular Economy&rdquo; of the Dutch Sustainable Growth Coalition.<br /><br />To contribute to the Bio-society in 2050 you should know what a business model of a company in the biobased and circular economy comprise of.&nbsp; Does it always require cross-company collaborative efforts to succeed in this sector? What operational supply chain challenges have to be dealt with to ensure efficient and sustainable production networks? And how can managerial decision-making be supported by quantitative methods?<br /><br />Join this course if you want to be able to answer these questions and gain a solid understanding of the business side of the biobased and circular economy.<br />The course contains two key business perspectives. It starts with relevant strategic management considerations such as the trends impacting the transition of businesses and value chains towards a more circular economy, their multi-stakeholder collaboration, and the development of feasible biobased business models. Then, the course continues with operational considerations, on e.g. supply chain management issues, different types of planning problems that are encountered, and the development of decision support for the design and operations of biobased supply chains.<br /><br />Don&rsquo;t miss out on this opportunity to gain the skills on a strategic- and operational level to transform your company&rsquo;s business model in a conscious, sustainable and profitable one.",Business Strategy
ec,1347,Risk Management and Credit Principles,"This course is Part 1 of the Credit and Credit Risk Analysis Professional Certificate program from the New York Institute of Finance. The course begins with an introduction to risk management and credit principles. You will review and understand credit risk, credit exposure, and the goals of credit analysis. You will learn about the purpose of debt, debt forms, and the difference between financing from debt vs. equity. <br /><br />In this course, you will gain a deeper understanding of the principles of credit risks, including exposure, default, default probability, expected loss, and loss given default. Important concepts will be covered that will help you to effectively assess business and industry risks, company business models, market competition, and the impact of risks on company performance. You&rsquo;ll examine how companies measure and mitigate these risks. <br /><br />Lastly, you&rsquo;ll review the roles of credit-rating agencies and the usefulness of market-related metrics, such as share prices and credit spreads. At the end of the course, you'll complete a hands-on risk analysis assessment.",Risk Management
